Timestamp,Student ID,Age,Gender,Department,GPA,Satisfaction (1-5),Comments
09/01/2023 06:49:00,STUD2979,23,Female,Marine Sci,0.06,3,
09/02/2023 01:21:00,STUD8686,23,Male,Zoology,3.21,2,
09/03/2023 06:05:00,STUD4395,21,Female,Mathematics,0.02,1,
09/04/2023 17:45:00,STUD2496,,Male,Biochemistry,A,5,
09/05/2023 03:19:00,STUD3349,23,Male,Chemistry,2.89,1,Comment 4: The course was great!
09/06/2023 21:03:00,STUD4780,24,Male,Zoology,3.15,4,This is spam... ignore me
invalid date,STUD7191,23,Male,Computer Science,3.96,3,Comment 6: The course was great!
09/08/2023 22:28:00,STUD1405,19,Male,Geophysics,3.03,5,This is spam... ignore me
09/09/2023 22:29:00,STUD2283,21,Femal,Zoology,2.47,5,Comment 8: The course was great!
09/10/2023 18:35:00,STUD5186,21,Female,Computer Science,,,This is spam... ignore me
09/11/2023 14:30:00,STUD4538,23,Malee,Chemistry,1.88,3,
09/12/2023 08:49:00,STUD6979,18,Other,Chemistry,1.62,4,This is spam... ignore me
invalid date,STUD1901,21,Male,Botany,,3,This is spam... ignore me
09/14/2023 01:28:00,STUD5560,20,Other,Geophysics,1.31,1,Comment 13: The course was great!
09/15/2023 04:59:00,STUD2520,18,Male,Botany,0.6,3,
09/16/2023 00:33:00,STUD2973,18,,Biochemistry,1.89,1,Comment 15: The course was great!
09/17/2023 03:48:00,STUD7166,25,,Cell Biology and Genetics,2.73,7,This is spam... ignore me
09/18/2023 08:58:00,STUD9776,100,Male,Cell Biology and Genetics,0.16,2,This is spam... ignore me
09/19/2023 15:55:00,STUD7811,18,,Biochemistry,,5,Comment 18: The course was great!
09/20/2023 00:00:00,STUD1926,21,Female,Marine Sciences,2.32,1,
09/21/2023 17:19:00,STUD6921,19,Other,,2.66,1,
09/22/2023 17:36:00,STUD2545,20,Other,Biochemistry,0.93,2,Comment 21: The course was great!
09/23/2023 15:05:00,STUD5637,100,Male,Maths,3.28,5,This is spam... ignore me
09/24/2023 08:08:00,STUD4911,25,Other,Mathematics,2.16,3,Comment 23: The course was great!
09/25/2023 16:16:00,STUD7616,18,Female,Microbiology,1.61,3,This is spam... ignore me
09/26/2023 15:28:00,STUD2626,22,Male,Physics,2.5,1,Comment 25: The course was great!
09/27/2023 13:34:00,STUD2448,21,Other,Cell Biology and Genetics,2.9,3,
09/28/2023 05:59:00,STUD9986,21,Female,Physics,3.91,7,Comment 27: The course was great!
09/29/2023 14:43:00,STUD9346,25,Other,Botany,0.5,1,
09/30/2023 23:54:00,STUD9672,twenty,Male,Marine Sciences,2.54,2,Comment 29: The course was great!
09/01/2023 18:17:00,STUD6384,15,Male,Marine Sciences,2.23,1,Comment 30: The course was great!
09/02/2023 20:36:00,STUD6344,22,Male,Computer Science,3.73,3,Comment 31: The course was great!
09/03/2023 16:14:00,STUD1971,22,Other,Microbiology,0.94,5,Comment 32: The course was great!
09/04/2023 05:12:00,STUD4377,20,Male,,3.29,5,Comment 33: The course was great!
09/05/2023 13:06:00,STUD5588,,Other,Marine Sciences,3.68,5,This is spam... ignore me
09/06/2023 22:11:00,STUD5963,22,Female,Computer Science,3.65,1,Comment 35: The course was great!
09/07/2023 05:09:00,STUD3736,20,Other,Chemistry,A,4,
09/08/2023 03:40:00,STUD5576,18,Other,Biochem,3.87,3,Comment 37: The course was great!
09/09/2023 06:28:00,STUD8043,21,Male,Mathematics,0.54,2,
09/10/2023 04:19:00,STUD9677,25,Other,Chemistry,2.4,3,
09/11/2023 22:43:00,STUD3333,25,Female,Geophysics,3.6,2,Comment 40: The course was great!
09/12/2023 12:05:00,STUD9906,,Other,Zoology,1.86,1,Comment 41: The course was great!
09/13/2023 09:13:00,STUD9960,20,Other,Biochemistry,,4,This is spam... ignore me
09/14/2023 16:40:00,STUD4152,,Male,Microbiology,1.7,4,This is spam... ignore me
invalid date,STUD1394,,Male,Chemistry,-1.2,1,
09/16/2023 04:57:00,STUD8409,18,Male,Cell Biology and Genetics,0.17,1,Comment 45: The course was great!
09/17/2023 07:21:00,STUD6938,15,Other,Zoology,,3,Comment 46: The course was great!
09/18/2023 03:13:00,STUD3010,25,Other,Maths,2.92,4,Comment 47: The course was great!
09/19/2023 17:36:00,STUD7007,20,,Microbiology,1.2,3,Comment 48: The course was great!
09/20/2023 13:55:00,STUD7100,18,Female,Marine Sci,0.93,4,
